timestamp,rpm,speed,lat,lon
2025-07-24 10:06:25,3361,49.8,-36.90947,174.87691
2025-07-24 10:06:26,3127,47.5,-36.90946,174.87684
2025-07-24 10:06:27,3326,51.1,-36.90945,174.87681
2025-07-24 10:06:28,3570,54.2,-36.90942,174.87663
2025-07-24 10:06:29,3042,46.4,-36.90942,174.87659
2025-07-24 10:06:30,3092,45.5,-36.90943,174.87659
2025-07-24 10:06:31,2955,45.0,-36.90945,174.87658
2025-07-24 10:06:32,3210,49.3,-36.90946,174.87657
2025-07-24 10:06:33,3198,49.9,-36.90947,174.87656
2025-07-24 10:06:34,3243,48.3,-36.90952,174.87654
2025-07-24 10:06:35,3161,47.3,-36.90956,174.87653
2025-07-24 10:06:36,3357,49.7,-36.90959,174.87653
2025-07-24 10:06:37,3454,51.5,-36.90967,174.87652
2025-07-24 10:06:38,3338,51.9,-36.90973,174.87654
2025-07-24 10:06:39,3329,50.1,-36.90982,174.87656
2025-07-24 10:06:40,3395,50.0,-36.91009,174.87663
2025-07-24 10:06:41,3442,53.2,-36.91017,174.87666
2025-07-24 10:06:42,3401,53.0,-36.91024,174.87668
2025-07-24 10:06:43,3139,46.9,-36.91032,174.87677
2025-07-24 10:06:44,3083,47.1,-36.91038,174.87685
2025-07-24 10:06:45,3733,60,-36.91039,174.87688
2025-07-24 10:06:46,3239,50.7,-36.9104,174.87692
2025-07-24 10:06:47,3757,57.2,-36.91041,174.87701
2025-07-24 10:06:48,3337,50.7,-36.91018,174.8785
2025-07-24 10:06:49,3471,54.1,-36.91011,174.87892
2025-07-24 10:06:50,3788,59.5,-36.91002,174.87932
2025-07-24 10:06:51,3188,47.5,-36.91001,174.87937
2025-07-24 10:06:52,3223,47.0,-36.90999,174.87945
2025-07-24 10:06:53,3074,46.1,-36.90989,174.87992
2025-07-24 10:06:54,2899,42.3,-36.90988,174.87996
2025-07-24 10:06:55,3188,47.8,-36.90986,174.88006
2025-07-24 10:06:56,3174,48.4,-36.90975,174.8805
2025-07-24 10:06:57,3233,49.7,-36.90963,174.88085
2025-07-24 10:06:58,3182,46.9,-36.90955,174.88109
2025-07-24 10:06:59,3377,50.7,-36.9095,174.88122
2025-07-24 10:07:00,3262,48.0,-36.90937,174.88153
2025-07-24 10:07:01,3209,48.3,-36.90928,174.88175
2025-07-24 10:07:02,3251,50.0,-36.90896,174.88252
2025-07-24 10:07:03,3471,52.5,-36.90893,174.88259
2025-07-24 10:07:04,3061,46.0,-36.90888,174.88269
2025-07-24 10:07:05,3458,51.8,-36.90884,174.8828
2025-07-24 10:07:06,3308,51.5,-36.90881,174.88288
2025-07-24 10:07:07,3672,56.8,-36.90875,174.88302
2025-07-24 10:07:08,3303,50.9,-36.90871,174.88312
2025-07-24 10:07:09,3290,48.7,-36.90855,174.88348
2025-07-24 10:07:10,3284,48.0,-36.90802,174.8847
2025-07-24 10:07:11,3247,48.1,-36.90787,174.88503
2025-07-24 10:07:12,3303,51.1,-36.90784,174.88511
2025-07-24 10:07:13,2969,43.1,-36.90777,174.88528
2025-07-24 10:07:14,3372,53.1,-36.90757,174.88574
2025-07-24 10:07:15,3419,50.8,-36.90699,174.88706
2025-07-24 10:07:16,3369,51.5,-36.90662,174.8879
2025-07-24 10:07:17,3080,46.4,-36.90641,174.88838
2025-07-24 10:07:18,3285,49.2,-36.90639,174.88843
2025-07-24 10:07:19,3111,47.3,-36.90623,174.88882
2025-07-24 10:07:20,3447,54.6,-36.90613,174.88906
2025-07-24 10:07:21,3602,56.7,-36.90609,174.88916
2025-07-24 10:07:22,3373,52.7,-36.90599,174.88939
2025-07-24 10:07:23,3586,55.0,-36.90593,174.88952
